"",660,3387,4136,7772,4932,5664,3458,1756,1924,574,2934,2552,1622,3584
660,0.000000,10825.624747,9831.104287,12175.417432,7898.893569,5815.724939,5689.500063,3898.251982,6725.195780,4966.846904,8321.549280,10232.467208,11828.351841,7705.326899
697,65.743821,10778.776837,9784.256377,12128.569522,7852.045660,5768.877029,5642.652153,3851.404072,6678.347870,5028.855093,8274.701370,10185.619299,11781.503932,7658.478989
7702,72.639659,10752.985088,9758.464628,12102.777773,7826.253911,5743.085280,5616.860404,3825.612323,6652.556121,4894.207245,8248.909622,10159.827550,11755.712183,7632.687240
700,83.446363,10761.074295,9766.553835,12110.866980,7834.343118,5751.174487,5624.949611,3833.701530,6660.645328,5011.152551,8256.998828,10167.916756,11763.801389,7640.776447
7704,85.059401,10745.619082,9751.098622,12095.411767,7818.887904,5735.719274,5609.494398,3818.246317,6645.190115,4906.626988,8241.543615,10152.461543,11748.346176,7625.321234
663,139.841519,10685.783228,9691.262768,12035.575913,7759.052051,5675.883420,5549.658544,3758.410463,6585.354261,4827.005385,8181.707761,10092.625690,11688.510323,7565.485380
7127,151.198015,10697.139724,9702.619264,12046.932409,7770.408547,5687.239916,5561.015040,3769.766959,6596.710757,4838.361881,8193.064257,10103.982185,11699.866819,7576.841876
739,152.181798,10788.872026,9794.351566,12138.664711,7862.140848,5778.972218,5652.747342,3861.499261,6688.443059,5038.950282,8284.796559,10195.714487,11791.599120,7668.574178
7703,175.497654,10650.127092,9655.606632,11999.919778,7723.395915,5640.227285,5514.002409,3722.754328,6549.698126,4862.661521,8146.051626,10056.969554,11652.854187,7529.829245
755,198.322886,10803.296414,9808.775954,12153.089099,7876.565237,5793.396606,5667.171730,3875.923649,6702.867447,5053.374670,8299.220947,10210.138875,11806.023508,7682.998566
731,207.760571,10844.450798,9849.930338,12194.243484,7917.719621,5834.550991,5708.326115,3917.078034,6744.021832,5094.529055,8340.375332,10251.293260,11847.177893,7724.152951
636,217.656170,10763.597880,9769.077420,12113.390565,7836.866702,5753.698072,5627.473196,3836.225115,6663.168913,4749.190734,8259.522413,10170.440341,11766.324974,7643.300032
754,249.757410,10691.296414,9696.775954,12041.089099,7764.565237,5681.396606,5555.171730,3763.923649,6590.867447,4941.374670,8187.220947,10098.138875,11694.023508,7570.998566
799,255.261449,10840.899367,9846.378907,12190.692052,7914.168190,5830.999559,5704.774683,3913.526602,6740.470400,5090.977623,8336.823900,10247.741828,11843.626461,7720.601519
7366,261.548083,10807.489792,9812.969332,12157.282478,7880.758615,5797.589984,5671.365108,3880.117028,6707.060825,4705.298821,8303.414326,10214.332254,11810.216887,7687.191945
5280,266.025806,10811.967515,9817.447055,12161.760200,7885.236338,5802.067707,5675.842831,3884.594750,6711.538548,4700.821098,8307.892048,10218.809976,11814.694610,7691.669667
5656,280.776060,10826.717769,9832.197309,12176.510454,7899.986592,5816.817961,5690.593085,3899.345004,6726.288802,4686.070844,8322.642303,10233.560231,11829.444864,7706.419921
7367,296.438769,10842.380479,9847.860019,12192.173164,7915.649301,5832.480671,5706.255795,3915.007714,6741.951512,4740.189507,8338.305012,10249.222940,11845.107573,7722.082631
750,297.620965,10546.899693,9552.379233,11896.692378,7620.168516,5536.999885,5410.775009,3619.526928,6446.470726,4796.977949,8042.824227,9953.742155,11549.626788,7426.601845
622,308.158380,10854.100089,9859.579629,12203.892775,7927.368912,5844.200282,5717.975406,3926.727325,6753.671123,4754.406751,8350.024623,10260.942551,11856.827184,7733.802242
732,308.765521,10945.455749,9950.935289,12295.248434,8018.724572,5935.555941,5809.331065,4018.082984,6845.026782,5195.534005,8441.380282,10352.298210,11948.182843,7825.157901
6129,314.866584,10860.808293,9866.287833,12210.600979,7934.077116,5850.908485,5724.683610,3933.435529,6760.379327,4761.114954,8356.732827,10267.650755,11863.535388,7740.510446
657,331.230584,11156.855331,10162.334871,12506.648016,8230.124154,6146.955523,6020.730647,4229.482566,7056.426364,5298.077488,8652.779864,10563.697793,12159.582426,8036.557483
843,335.523520,10900.163490,9905.643030,12249.956176,7973.432313,5890.263682,5764.038807,3972.790726,6799.734524,5150.241747,8396.088024,10307.005952,11902.890585,7779.865643
778,353.237959,10491.282699,9496.762239,11841.075385,7564.551522,5481.382891,5355.158016,3563.909935,6390.853733,4741.360956,7987.207233,9898.125161,11494.009794,7370.984852
610,367.115738,10913.057447,9918.536987,12262.850132,7986.326270,5903.157639,5776.932763,3985.684682,6812.628480,4811.877861,8408.981980,10319.899908,11915.784542,7792.759599
809,383.869303,10557.184520,9562.664060,11906.977206,7630.453343,5547.284712,5421.059836,3629.811756,6456.755553,4807.262776,8053.109054,9964.026982,11559.911615,7436.886673
689,393.930903,11155.759265,10161.238805,12505.551950,8229.028087,6145.859457,6019.634581,4228.386500,7055.330298,5360.777807,8651.683798,10562.601726,12158.486359,8035.461417
712,394.056751,11107.089767,10112.569307,12456.882452,8180.358590,6097.189959,5970.965083,4179.717002,7006.660800,5357.168023,8603.014300,10513.932229,12109.816862,7986.791919
868,401.387015,10954.145973,9959.625513,12303.938659,8027.414796,5944.246165,5818.021290,4026.773209,6853.717007,5204.224230,8450.070507,10360.988435,11956.873068,7833.848126
4816,403.510044,10422.114702,9427.594242,11771.907388,7495.383525,5412.214895,5285.990019,3494.741938,6321.685736,4641.230914,7918.039236,9828.957164,11424.841797,7301.816855
4811,409.464874,10416.159872,9421.639412,11765.952558,7489.428695,5406.260065,5280.035189,3488.787108,6315.730906,4635.276084,7912.084406,9823.002334,11418.886967,7295.862025
